"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
Two patients relapsed in olsalazine sodium group while 8 cases relapsed in SASP group during the flow-up period (from six months to one year).,Two patients relapsed olsalazine sodium 8 relapsed SASP flow-up period (from months year).,C0205448|C0030705|C0205336|C0069454|C0037473|G0000000|C0205336|C1504637|C0806140|C0439531|G0000000|C0439231|C0439234
Chronic pain patients (N=115; mean age = 48±14; 68% female) were randomized to 8 weeks of MORE or a Support Group (SG).,Chronic pain patients (N=115; age = 48±14; 68% female) randomized 8 weeks MORE Support Group (SG).,C0205191|C0030193|C0030705|C0369718|C0001779|G0000000|G0000000|C0450371|C0015780|C0034656|G0000000|C0439230|C0205172|C0183683|C0441833|C0036644
"Given that a daily dose of 1,000 IU vitamin D3 (with or without a loading dose) resulted in at least 25% of patients having suboptimal vitamin D status, patients with acute hip fracture may benefit from a higher daily dose of vitamin D. Clinical Trials # {""type"":""clinical-trial"",""attrs"":{""text"":""NCT00424619"",""term_id"":""NCT00424619""}}NCT00424619 Vitamin D deficiency is a major risk factor for accelerated bone loss and fracture [1].","Given daily dose 1,000 IU vitamin D3 (with loading dose) 25% patients suboptimal vitamin D status, patients acute hip fracture benefit daily dose vitamin D. Clinical Trials # {""type"":""clinical-trial"",""attrs"":{""text"":""NCT00424619"",""term_id"":""NCT00424619""}}NCT00424619 Vitamin D deficiency major risk factor accelerated bone loss fracture [1].",C1442162|C0332173|C0178602|C1442061|C0049272|C0042890|C3538936|G0000000|C1708715|C0178602|C0450371|C0030705|C2984009|C0042890|C0073187|C0449438|C0030705|C0205178|C0019552|C0016658|C0814225|C0332173|C0178602|C0042890|C0073187|C0205210|C0008976|G0000000|C0332307|C0042890|C0073187|C0011155|C0205082|C0035647|C1521761|C0521110|C0262950|C1517945|C0016658|G0000000
DP7: Dihydroartemisinin- piperaquine + Primaquine 1 mg/kg/day for 7 days.,DP7: Dihydroartemisinin- piperaquine + Primaquine 1 mg/kg/day 7 days.,G0000000|C0058108|C0071105|G0000000|C0033126|G0000000|C3665414|G0000000|C0439228
"Twenty-six patients were randomized to a group receiving 4 weekly infusions of 375 mg/m2 rituximab, and 28 patients to placebo.","Twenty-six patients randomized receiving 4 weekly infusions 375 mg/m2 rituximab, 28 patients placebo.",C0724000|C0030705|C0034656|C1514756|G0000000|C0332174|C0574032|C1442061|C0026410|C0393022|C0450371|C0030705|C0032042
"Following week 1, the patients were randomized to receive either L. GG (n = 5)(2 × 109 CFU/day; CAG Functional Foods, Omaha, NE) or placebo (n = 6).","Following week 1, patients randomized receive L. GG (n = 5)(2 × 109 CFU/day; CAG Functional Foods, Omaha, NE) placebo (n = 6).",C0231290|C0332174|G0000000|C0030705|C0034656|C1514756|C0439394|C0017454|C0369718|G0000000|G0000000|G0000000|C1442061|C0332173|G0000000|C0205245|C0016452|C1551450|C0028219|C0032042|C0369718|G0000000|G0000000
"On average, women who received the yoga intervention attended 18.13 (± 4.52 SD) of 24 classes (75.4%), and reported 24.69 (± 10.62 SD) minutes per day of yoga practice during the 12-week intervention.","On average, women received yoga intervention attended 18.13 (± 4.52 SD) 24 classes (75.4%), reported 24.69 (± 10.62 SD) minutes day yoga practice 12-week intervention.",G0000000|C1510992|C0043210|C1514756|C0043418|C0886296|C1456498|C0450371|G0000000|C0450371|C2699239|C0450371|C0456387|C0450371|C0684224|C0450371|G0000000|C0450371|C2699239|C0439232|C0332173|C0043418|C0237607|C0450371|C0886296
The intervention group received colchicine 1.0 mg per day for six weeks and the control group received a placebo for the same period.,The intervention received colchicine 1.0 day weeks control received placebo period.,G0000000|C0886296|C1514756|C0009262|G0000000|C0332173|C0439230|C0243148|C1514756|C0032042|C0439531
"Over time, the daily total amount of glucose in instilled dialysate increased slightly in the high-GDP group; in the low GDP group, it decreased slightly.","Over time, daily total amount glucose instilled dialysate increased high-GDP group; low GDP group, decreased slightly.",C0205136|C0040223|C0332173|C0439175|C1265611|C0017725|C1720298|C0011947|C0205217|C0205250|C0441833|C0205251|C0018340|C0441833|C0205216|C0750482
"The games were developed to encourage dynamic balance and upper limb activities, and be adaptable to users with different levels of balance, motor control and perceptual problems commonly found after stroke.","The games developed encourage dynamic balance upper limb activities, adaptable users levels balance, motor control perceptual commonly stroke.",G0000000|C0150593|G0000000|G0000000|C0729333|C0014653|C1282910|C0015385|C0441655|C0237451|C1706077|C0441889|C0014653|C1513492|C0243148|G0000000|G0000000|C0038454
The perioperative care protocol in the regular diet feeding group consisted of fasting until the patient passed first flatus or stools.,The perioperative care protocol regular diet feeding consisted fasting patient passed flatus stools.,G0000000|C1518988|C1947933|C0442711|C0205272|C0012155|C0204695|C0332529|C0015663|C0030705|C2828386|C0016204|C0015733
The RA encourages Pps to continue using the electronic medication monitor and diary for the next 6 months during maintenance phase.,The RA encourages Pps continue electronic medication monitor diary 6 months maintenance phase.,G0000000|C3538806|G0000000|G0000000|C0549178|C0013850|C0013227|C0030695|C0376660|G0000000|C0439231|C0024501|C0205390
"Decision analysis—The steps involved in decision analysis are described in detail elsewhere.21 Firstly, women were given information about the outcomes associated with planned vaginal delivery, elective caesarean section, and emergency caesarean section.","Decision analysis—The steps involved decision analysis detail elsewhere.21 Firstly, women outcomes planned vaginal delivery, elective caesarean section, emergency caesarean section.",C0679006|G0000000|C1261552|C1314939|C0679006|C0002778|C1522508|C0450371|C1279901|C0043210|C1274040|C1301732|C0042232|C0011209|C0206058|C3841297|C0152060|C0013956|C3841297|C0152060
This obviously leads to the question 'would giving food or a well-balanced food supplement help to circumvent the energy cost of lactation?',This leads question 'would food well-balanced food supplement circumvent energy cost lactation?',G0000000|C0023175|C1522634|G0000000|C0016452|C0205170|C0016452|C0242295|G0000000|C0424589|C0010186|C0006147
The control group received usual indoor light (150–200 lux) and participated in their regularly scheduled activities in the usual location.,The control received usual indoor light (150–200 lux) participated regularly scheduled activities usual location.,G0000000|C0243148|C1514756|C3538928|G0000000|C0023693|G0000000|C0024176|G0000000|G0000000|C0086960|C0441655|C3538928|C0450429
We describe lessons learned from a multi-method formative study to develop and deliver a psychological intervention to depressed mothers and their infants through non-specialist village based health workers.,We lessons learned multi-method formative study develop deliver psychological intervention depressed mothers infants non-specialist village based health workers.,G0000000|G0000000|C0023185|C0439064|G0000000|C0557651|G0000000|C0308779|C0205486|C0886296|C0344315|C0026591|C0021270|C1518422|C0562518|C1527178|C0018684|C0024752
The foods were packaged in 245-g plastic jars and procured from Project Peanut Butter).,The foods packaged 245-g plastic jars procured Project Peanut Butter).,G0000000|C0016452|C0030176|C1442061|C0032167|C0181427|C3274540|C1709701|C0030736|C0006494
"This study compared 5-day treatment of CSU with the second-generation H1-antihistamine, levocetirizine (20 mg daily), with levocetirizine (15 mg daily) plus hydroxyzine (50 mg nightly).","This study compared 5-day treatment CSU second-generation H1-antihistamine, levocetirizine (20 daily), levocetirizine (15 daily) hydroxyzine (50 nightly).",G0000000|C0557651|C1707455|C0332173|C0039798|G0000000|C0205436|C0262926|C1174893|C0450371|C0332173|C1174893|C0450371|C0332173|C0020404|C0450371|G0000000
INTERPRETATION: Insulin adjustment according to advice from a diabetes nurse educator is an effective method of improving glucose control in insulin-requiring diabetic patients.,INTERPRETATION: Insulin adjustment advice diabetes nurse educator effective method improving glucose control insulin-requiring diabetic patients.,C0459471|C0021641|C0376209|C0150600|C0011847|C0028661|C0221457|C1280519|C0025663|C1272745|C0017725|C0243148|C0021641|C0241863|C0030705
"This 12-week, international, randomized, doubleblind, parallel-group study was undertaken to compare the efficacy and safety of fluticasone propionate (FP) 800 μg daily, administered as a powder via the Diskhaler®, and budesonide (BUD) 1600 μg daily, administered using the Turbuhaler®, in adult patients with moderate-tosevere asthma.","This 12-week, international, randomized, doubleblind, parallel-group study undertaken compare efficacy safety fluticasone propionate (FP) 800 μg daily, administered powder Diskhaler®, budesonide (BUD) 1600 μg daily, administered Turbuhaler®, adult patients moderate-tosevere asthma.",G0000000|C0450371|C1512888|C0034656|C0013072|C2348042|C0557651|G0000000|C1707455|C1280519|C0036043|C0082607|C0033474|C0016704|C1442061|G0000000|C0332173|C1521801|C0032861|G0000000|C0054201|C2700462|G0000000|G0000000|C0332173|C1521801|G0000000|C0001675|C0030705|C0205081|C0004096
"The pill will be identical in size, shape, color, smell and taste for both the intervention and the placebo arms of the trial.","The pill identical size, shape, color, smell taste intervention placebo arms trial.",G0000000|C0009905|C0205280|C0456389|C0332479|C0009393|C0037361|C0039336|C0886296|C0032042|C0206655|C0008976
An intervention based on peer group pressure and social influence may therefore be useful to prevent smoking among these students.,An intervention based peer pressure social influence prevent smoking students.,G0000000|C0886296|C1527178|C0679739|C0033095|C0728831|C4054723|C0309872|C0037369|C0038492
"WBRT reduced the 2-year relapse rate both at initial sites (surgery: 59% to 27%, P < .001; radiosurgery: 31% to 19%, P = .040) and at new sites (surgery: 42% to 23%, P = .008; radiosurgery: 48% to 33%, P = .023).","WBRT reduced 2-year relapse rate initial sites (surgery: 59% 27%, P < .001; radiosurgery: 31% 19%, P = .040) sites (surgery: 42% 23%, P = .008; radiosurgery: 48% 33%, P = .023).",C1520143|C0392756|C0439234|C0035020|C0871208|C0205265|C0205145|C0038894|C0450371|C0450371|C0369773|G0000000|C1442061|C0085203|C0450371|C0450371|C0369773|G0000000|C1442061|C0205145|C0038894|C0450371|C0450371|C0369773|G0000000|C1442061|C0085203|C0450371|C0450371|C0369773|G0000000|C1442061
"Stimulation of the lower extremities was performed three times a week, 20 minutes each session, for six continuous weeks.","Stimulation lower extremities performed times week, 20 minutes session, continuous weeks.",C1292856|C0441994|C0015385|C0884358|C0040223|C0332174|C0450371|C0439232|C1883016|C0549178|C0439230
Mean (SD) follow-up period was 14.0 months (3.0 months) for the entire cohort and 14.7 months (1.6 months) for patients diagnosed with influenza.,Mean (SD) follow-up period 14.0 months (3.0 months) entire cohort 14.7 months (1.6 months) patients diagnosed influenza.,C0444504|G0000000|C0589120|C0439531|C0450371|C0439231|G0000000|C0439231|C0439751|C0599755|C0450371|C0439231|G0000000|C0439231|C0030705|C0011900|C0021400
"During subsequent monthly visits, study personnel hold continued discussions regarding self‐management; impart psychosocial education pertaining to schooling, marriage, and employment; inquire about medication side‐effects; verify seizure diaries; and supply the scheduled stock of AEDs.","During subsequent monthly visits, study personnel hold continued discussions self‐management; impart psychosocial education pertaining schooling, marriage, employment; inquire medication side‐effects; verify seizure diaries; supply scheduled stock AEDs.",G0000000|C0332282|C0332177|C0545082|C0557651|C0024752|C1553387|C0549178|C0557061|G0000000|G0000000|C0542298|C0013621|G0000000|C0013621|C0024841|C0014003|G0000000|C0013227|G0000000|C1711411|C0036572|C0376660|C0243163|C0086960|C1710198|C0180309
The AI group received four adherence promotion intervention sessions over >2 months.,The AI received adherence promotion intervention sessions >2 months.,G0000000|C0003353|C1514756|C1510802|C0033414|C0886296|C1883016|G0000000|C0439231
"The integrated multilevel model may effectively link low-income smokers to intensive multimodal behavioral intervention that augments WIC counselor advice, promotes necessary support and skills training via telephone counseling and integrated mobile app, and provides NRT with usage guidance.","The integrated multilevel model effectively link low-income smokers intensive multimodal behavioral intervention augments WIC counselor advice, promotes support skills training telephone counseling integrated mobile app, NRT usage guidance.",G0000000|G0000000|G0000000|C3161035|G0000000|C1517892|C0032854|C0337664|C0162425|C1513743|C0004927|C0886296|C0205217|G0000000|C1561602|C0150600|C0033414|C0183683|C0678856|C0040607|C0039457|C0010210|G0000000|C0231435|G0000000|C1278444|C0457083|C0150600
"If the eight week regimen is to be considered as policy, assessment of the safety profile in G6PD deficient patients will be needed.","If week regimen considered policy, assessment safety profile G6PD deficient patients needed.",G0000000|C0332174|C0040808|C0750591|C0242456|C1261322|C0036043|C1979963|G0000000|C0011155|C0030705|C0027552
