"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"Blood samples for inflammatory parameters, including serum Interleukin(IL)-8, Interleukin (IL)-6, Tumor Necrosis Factor (TNF)-α, monocyte chemoattractant protein (MCP) -1, leukocyte Nuclear Factor(NF)-kappaB (p65; NF-κB) and B-cell leukemia/lymphoma (BCL)10, and stool sample for calprotectin (R&D, Minneapolis, MN) were obtained at entry into the study, at three-month intervals (unless exempted as above), and/or at termination of study participation.","Blood samples inflammatory parameters, including serum Interleukin(IL)-8, Interleukin (IL)-6, Tumor Necrosis Factor (TNF)-α, monocyte chemoattractant protein (MCP) -1, leukocyte Nuclear Factor(NF)-kappaB (p65; NF-κB) B-cell leukemia/lymphoma (BCL)10, stool sample calprotectin (R&D, Minneapolis, MN) entry study, three-month intervals (unless exempted above), and/or termination study participation.",C0005767|C0370003|C0333348|C0449381|C0332257|C0229671|C0021764|C0021764|C0020898|C0027651|C0027540|C1521761|G0000000|C0026473|C0008013|C0033684|C3540820|G0000000|C0023516|C0521447|C1521761|G0000000|G0000000|C0004561|C0023418|C0450371|C0015733|C0370003|C0950624|C0205090|G0000000|C0026405|C1705654|C0557651|C0205449|C1272706|G0000000|C2348482|C1282910|G0000000|C1549081|C0557651|C0679823
"Overall, and in all other subsets defined by baseline blood selenium levels, selenium supplementation had no effect on PC risk.","Overall, subsets defined baseline blood selenium levels, selenium supplementation PC risk.",C0282416|C1515021|C1704788|C0168634|C0005767|C0036581|C0441889|C0036581|C0242297|C0031995|C0035647
"Led by a certified MBSR instructor, these weekly group sessions focused on the participants' experiences of mindfulness, and including gentle meditation and yoga training.","Led certified MBSR instructor, weekly sessions focused participants' experiences mindfulness, including gentle meditation yoga training.",C1708698|C0007836|G0000000|C0221457|C0332174|C1883016|C0205234|C0679646|C0596545|C0086045|C0332257|C0720654|C0150277|C0043418|C0040607
"Because both treatment of GBS patients and treatment of pain is standardized in our center, it is likely that the prescription of analgesics is rather uniform and reported in a standardized way.","Because treatment GBS patients treatment pain standardized center, prescription analgesics uniform reported standardized way.",G0000000|C0039798|C0018378|C0030705|C0039798|C0030193|G0000000|C0205099|C0033080|C0002771|C0205375|C0684224|G0000000|G0000000
"With regard to resistance training, the 12 participants in the intervention group providing M3 data completed 21 of the 24 possible resistance exercise sessions over the 12-week period (87.5%) and reported a weekly average of 1.8 sessions per week.","With regard resistance training, 12 participants intervention providing M3 data completed 21 24 resistance exercise sessions 12-week period (87.5%) reported weekly average 1.8 sessions week.",G0000000|G0000000|C0237834|C0040607|C0450371|C0679646|C0886296|C1999230|C0025885|C1511726|C0205197|C0450371|C0450371|C0237834|C0015259|C1883016|C0450371|C0439531|C0450371|C0684224|C0332174|C1510992|G0000000|C1883016|C0332174
Mortality rates from causes other than CRC did not differ.,Mortality rates CRC differ.,C0026565|C0871208|C0009402|G0000000
"Vomiting, nausea, neutropenia, and anorexia were the most common adverse events in both arms.","Vomiting, nausea, neutropenia, anorexia common adverse events arms.",C0042963|C0027497|C0023530|C0003123|C0205214|G0000000|C0441471|C0206655
"Despite this finding, the surgeons and oncologists did not change their communication behavior as reflected by the objective measure, although the family doctors did.","Despite finding, surgeons oncologists change communication behavior reflected objective measure, family doctors did.",G0000000|C0037088|C0582175|C0259990|C0392747|C0009452|C0004927|C0558058|C0018017|C0079809|C0015576|C0031831|G0000000
"For children aged < 6 years or for those who had difficulty swallowing the capsules, capsule contents could be mixed with 1 tablespoon of applesauce.","For children aged < 6 difficulty swallowing capsules, capsule contents mixed 1 tablespoon applesauce.",G0000000|C0008059|C0001779|G0000000|G0000000|C1299586|C0011167|C0006935|C0006935|C0456205|C0205430|G0000000|C1532188|C1720240
"The setting kindergarten is very well suited to implement intervention programmes for health promotion since it is possible to realise behaviour change (e.g., knowledge transfer; increase of self-efficacy) as well as environmental change (e.g., offer of healthy beverages and nutrition; gardens/surroundings which stimulate children to be physically active).","The setting kindergarten suited implement intervention programmes health promotion realise behaviour change (e.g., knowledge transfer; increase self-efficacy) environmental change (e.g., offer healthy beverages nutrition; gardens/surroundings stimulate children physically active).",G0000000|C0542559|C0681406|G0000000|G0000000|C0886296|G0000000|C0018684|C0033414|G0000000|C0004927|C0392747|G0000000|C0376554|C0040671|C0442805|C0600564|C0014406|C0392747|G0000000|G0000000|C3898900|C0005329|C0028707|C0868963|G0000000|C0008059|G0000000|C0205177
A writing committee will consist of all applicants with Sara Kenyon taking the lead on writing the paper.,A writing committee consist applicants Sara Kenyon lead writing paper.,G0000000|C0043266|C2699414|C0332529|C0696628|C1419815|G0000000|C0023175|C0043266|C0030351
We previously reported that cancer-specific variables were unimportant in understanding which women treated for breast cancer would experience clinically significant depression.,We reported cancer-specific variables unimportant understanding women treated breast cancer experience clinically depression.,G0000000|C0684224|C0006826|C0439828|G0000000|C0162340|C0043210|C1522326|C0006141|C0006826|C0237607|G0000000|C0011570
"CST = Coping Skills Training Group; GE = General Education Group; HbA1c = Hemoglobin A1c; QOL = quality of life; CDI = Children's Depressive Inventory The change from baseline to 3 months post-intervention for each of the mediators also was entered into a mixed model predicting outcomes at 6 months and 12 months, after adjusting for baseline outcome, treatment modality, sex, income and group.","CST = Coping Skills Training Group; GE = General Education Group; HbA1c = Hemoglobin A1c; QOL = quality life; CDI = Children's Depressive Inventory The change baseline 3 months post-intervention mediators entered mixed model predicting outcomes 6 months 12 months, adjusting baseline outcome, treatment modality, sex, income group.",C3539520|G0000000|C0009967|C0678856|C0040607|C0441833|C1292300|G0000000|C0205246|C0013621|C0441833|G0000000|G0000000|C0019046|G0000000|C0518214|G0000000|C0332306|C0376558|C0282601|G0000000|C0008059|G0000000|C0021941|G0000000|C0392747|C0168634|G0000000|C0439231|C2347647|C0127400|C1521975|C0205430|C3161035|G0000000|C1274040|G0000000|C0439231|C0450371|C0439231|G0000000|C0168634|C1274040|C0039798|C0695347|C0009253|C0021162|C0441833
Compliance to 5FU plus levamisole was 69%.,Compliance 5FU levamisole 69%.,C0009563|G0000000|C0023556|C0450371
The parents were asked to evaluate the patient's pain level on a provided 10-point VAS as well as to obtain a self-report of the child's pain using the FACES assessment tool.,The parents evaluate patient's pain level provided 10-point VAS self-report child's pain FACES assessment tool.,G0000000|C0030551|C0220825|C0030705|C0030193|C0441889|C1999230|C0450371|C0042815|C0681906|C0008059|C0030193|C0015450|C1261322|C0336791
The code was held by a member of the trial team (AP) who was not directly involved with data collection and had no contact with participants.,The code held trial team (AP) directly involved data collection contact participants.,G0000000|C0009219|C0675390|C0008976|C0871489|C3887950|C1947931|C1314939|C1511726|C1516698|C0332158|C0679646
No change from baseline in any CFQ-R domain was significant.,No change baseline CFQ-R domain significant.,G0000000|C0392747|C0168634|C0205090|C1880389|C0237881
"5) In the Danish version of the protocol, we described a sensitivity analysis that has now been excluded.","5) In Danish version protocol, sensitivity analysis excluded.",G0000000|G0000000|G0000000|C0333052|C0442711|C0020517|C0002778|C1554077
We used a potency conversion between HC to PDN to DEX of 1 to 5 to 50.,We potency conversion HC PDN DEX 1 5 50.,G0000000|C3245505|C0439836|C0020268|G0000000|G0000000|G0000000|G0000000|C0450371
Courses were repeated every three weeks.,Courses repeated weeks.,C0750729|C0205341|C0439230
The highest grade of a hematologically or non-hematologically toxicity during a cycle was recorded for the analysis.,The grade hematologically non-hematologically toxicity cycle recorded analysis.,G0000000|C0441800|G0000000|C1518422|C0040539|C1511572|C0034869|C0002778
"Association of dietary selenium intake with total and cause-specific mortality in the Shanghai Women’s Health Study (SWHS; 1997–2000) and the Shanghai Men’s Health Study (SMHS; 2002–2006) HR, hazard ratio.","Association dietary selenium intake total cause-specific mortality Shanghai Women’s Health Study (SWHS; 1997–2000) Shanghai Men’s Health Study (SMHS; 2002–2006) HR, hazard ratio.",C0004083|C0012155|C0036581|C1512806|C0439175|C0015127|C0026565|G0000000|G0000000|C0018684|C0557651|G0000000|G0000000|G0000000|G0000000|C0018684|C0557651|C1824631|G0000000|G0000000|C0598697|C0456603
"The Kaplan–Meier curves are shown in black, and the associated 95% confidence intervals in gray.","The Kaplan–Meier curves black, 95% confidence intervals gray.",G0000000|G0000000|C0205134|C0005680|C0450371|C0237529|C1272706|C0556636
"Considering attrition rates reported in other couple intervention studies,13 we included 199 couples.","Considering attrition rates reported couple intervention studies,13 included 199 couples.",C0750591|C0004277|C0871208|C0684224|C0010222|C0886296|C0947630|C0332257|C1442061|C0010222
"Sessions one to three focused on problem solving, symptom management, self-care, identification and coordination of local resources, communication, decision making, and advance care planning.","Sessions focused solving, symptom management, self-care, identification coordination local resources, communication, decision making, advance care planning.",C1883016|C0205234|G0000000|C1457887|C0001554|C0036592|C0020792|C0242414|C0205276|C0035201|C0009452|C0679006|C1881534|C0725066|C1947933|C0032074
They were all initially prescribed an empirical drug regimen containing at least four drugs they had not previously received while awaiting their sensitivity report.,They initially prescribed empirical drug regimen drugs received awaiting sensitivity report.,G0000000|C0205265|C0278329|C1880496|C0013227|C0040808|C0013227|C1514756|G0000000|C0020517|C0684224
We believe that the combination of dabrafenib and trametinib warrants further evaluation as a potential treatment for metastatic melanoma with BRAF V600 mutations and other cancers with these mutations.,We combination dabrafenib trametinib warrants evaluation potential treatment metastatic melanoma BRAF V600 mutations cancers mutations.,G0000000|C0205195|C3467876|C2697961|G0000000|C0220825|C3245505|C0039798|C0036525|C0025202|C0104940|G0000000|C0026882|C0006826|C0026882
All had a Karnofsky performance status of ≥70%.17,All Karnofsky performance status ≥70%.17,G0000000|C0206065|C0597198|C0449438|G0000000
The German Working Group Trace Elements and Electrolytes in Oncology (AKTE) conducted the worldwide sole randomized phase III clinical studies to examine the radioprotective properties of sodium selenite in radiation oncology.,The German Working Group Trace Elements Electrolytes Oncology (AKTE) conducted worldwide sole randomized phase III clinical studies examine radioprotective properties sodium selenite radiation oncology.,G0000000|C1556085|C0043227|C0441833|C0442822|C0013879|C0013832|C0027651|G0000000|C0004927|G0000000|C0230463|C0034656|C0205390|C0439070|C0205210|C0947630|G0000000|C0034533|C0871161|C0037473|C0036580|C0034519|C0027651
"Gastric and oesophageal cancers are largely diseases of the elderly, especially gastric cancer where 77% of patients are diagnosed over the age of 75 years (Shitara et al, 2009).","Gastric oesophageal cancers diseases elderly, gastric cancer 77% patients diagnosed age 75 (Shitara al, 2009).",C0038351|C1522619|C0006826|C0012634|C0001792|C0038351|C0006826|C0450371|C0030705|C0011900|C0001779|C0450371|G0000000|C0202311|G0000000
The mortality associated with PermaNet 3.0 and PermaNet 2.0 after 20 washes against Cx.,The mortality PermaNet 3.0 PermaNet 2.0 20 washes Cx.,G0000000|C0026565|G0000000|G0000000|G0000000|G0000000|C0450371|C0441648|G0000000
"Unless the majority of mosquitoes respond to host odour or convection plumes in this way, the 2-in-1 concept as a tactic for managing resistance management tactic is flawed.","Unless majority mosquitoes respond host odour convection plumes way, 2-in-1 concept tactic managing resistance management tactic flawed.",G0000000|C0680220|C0026584|G0000000|C1167395|C0028884|C0242689|G0000000|G0000000|G0000000|C0178566|G0000000|C1273870|C0237834|C0001554|G0000000|G0000000
